Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
156,R,108,H R 1298,1-May-2003,1:50 PM,On Agreeing to the Amendment,None,Failed,125,97,0,6,5,190,0,10,0,1,0,0,130,288,0,16
157,R,108,H R 1298,1-May-2003,3:19 PM,On Agreeing to the Amendment,None,Agreed to,201,21,0,7,19,175,0,11,0,1,0,0,220,197,0,18
158,R,108,H R 1298,1-May-2003,3:37 PM,On Passage,"United States Leadership Against HIV/AIDS, Tuberculosis, and Malaria Act",Passed,183,40,0,6,191,1,0,13,1,0,0,0,375,41,0,19
159,R,108,H R 1596,6-May-2003,6:55 PM,On Motion to Suspend the Rules and Pass,Timothy Michael Gaffney Post Office Building,Passed,214,0,0,14,190,0,0,15,1,0,0,0,405,0,0,29
160,R,108,H R 1625,6-May-2003,7:02 PM,On Motion to Suspend the Rules and Pass,Robert P. Hammer Post Office Building,Passed,213,0,0,15,191,0,0,14,1,0,0,0,405,0,0,29
161,R,108,H R 1740,6-May-2003,7:19 PM,On Motion to Suspend the Rules and Pass,"Dr. Caesar A.W. Clark, Sr. Post Office Building",Passed,214,0,0,14,190,0,0,15,1,0,0,0,405,0,0,29
162,R,108,H R 1609,7-May-2003,12:23 PM,On Motion to Suspend the Rules and Pass,Admiral Donald Davis Post Office Building,Passed,222,0,0,6,200,0,0,5,1,0,0,0,423,0,0,11
163,R,108,H R 100,7-May-2003,12:30 PM,"On Motion to Suspend the Rules and Pass, as Amended",Servicemembers Civil Relief Act,Passed,223,0,0,5,201,0,0,4,1,0,0,0,425,0,0,9
164,R,108,H CON RES 96,7-May-2003,12:38 PM,On Motion to Suspend the Rules and Agree,National Peace Officers’ Memorial Service,Passed,220,0,0,8,198,0,0,7,1,0,0,0,419,0,0,15
165,R,108,H R 766,7-May-2003,2:58 PM,On Agreeing to the Amendment,None,Failed,6,214,0,8,202,0,0,3,1,0,0,0,209,214,0,11
166,R,108,H R 766,7-May-2003,3:05 PM,On Agreeing to the Amendment,None,Failed,4,217,0,7,202,0,0,3,1,0,0,0,207,217,0,10
167,R,108,H R 766,7-May-2003,3:23 PM,On Passage,Nanotechnology Research and Development Act,Passed,204,19,0,5,200,0,0,5,1,0,0,0,405,19,0,10
168,R,108,H CON RES 53,7-May-2003,3:32 PM,"On Motion to Suspend the Rules and Agree, as Amended",Greater Washington Soap Box Derby,Passed,223,0,0,5,198,0,0,7,1,0,0,0,422,0,0,12
169,R,108,H R 866,7-May-2003,3:39 PM,On Motion to Suspend the Rules and Pass,Wastewater Treatment Works Security Act,Passed,218,2,0,8,194,0,0,11,1,0,0,0,413,2,0,19
170,R,108,H RES 221,8-May-2003,11:52 AM,On Ordering the Previous Question,Providing for consideration of H.R. 1261; Workforce Reinvestment and Adult Education Act,Passed,220,0,0,8,2,198,0,5,0,1,0,0,222,199,0,13
171,R,108,H RES 221,8-May-2003,12:00 PM,On Agreeing to the Resolution,Providing for consideration of H.R. 1261; Workforce Reinvestment and Adult Education Act,Passed,219,0,0,9,2,195,0,8,0,1,0,0,221,196,0,17
172,R,108,H R 874,8-May-2003,12:08 PM,On Motion to Suspend the Rules and Pass,Rail Passenger Disaster Family Assistance Act,Passed,216,2,0,10,197,3,0,5,1,0,0,0,414,5,0,15
173,R,108,H R 1261,8-May-2003,2:40 PM,On Agreeing to the Amendment,None,Agreed to,221,0,0,7,201,0,0,4,1,0,0,0,423,0,0,11
174,R,108,H R 1261,8-May-2003,3:15 PM,On Motion to Recommit with Instructions,Workforce Reinvestment and Adult Education Act,Failed,0,222,0,6,201,1,0,3,1,0,0,0,202,223,0,9
175,R,108,H R 1261,8-May-2003,3:23 PM,On Passage,Workforce Reinvestment and Adult Education Act,Passed,213,10,0,5,7,193,0,5,0,1,0,0,220,204,0,10
